Year,Event,Full_Text,Sentiment_Score,Category
2020,"^Edmondson, Catie (January 9, 2020).""Mike Lee, a G.O.P. Senator, Calls Administration's Iran Briefing 'Insulting'"".New York Times.Archivedfrom the original on January 10, 2020. RetrievedJanuary 10,202...","^Edmondson, Catie (January 9, 2020).""Mike Lee, a G.O.P. Senator, Calls Administration's Iran Briefing 'Insulting'"".New York Times.Archivedfrom the original on January 10, 2020. RetrievedJanuary 10,2020.",-0.3125,Negative
2020,"^Lucey, Catherine; Gilles, Rob (February 13, 2020).""Canada's Trudeau talks trade with Trump at White House"".Associated Press.Archivedfrom the original on March 27, 2025. RetrievedFebruary 28,2020....","^Lucey, Catherine; Gilles, Rob (February 13, 2020).""Canada's Trudeau talks trade with Trump at White House"".Associated Press.Archivedfrom the original on March 27, 2025. RetrievedFebruary 28,2020.",0.1875,Positive
2020,"^Moshtaghian, Artemis; Berlinger, Joshua; Guy, Jack (January 8, 2020).""Ukrainian Boeing plane crashes in Iran after takeoff, killing 176 on board"". CNN.Archivedfrom the original on January 8, 2020. Re...","^Moshtaghian, Artemis; Berlinger, Joshua; Guy, Jack (January 8, 2020).""Ukrainian Boeing plane crashes in Iran after takeoff, killing 176 on board"". CNN.Archivedfrom the original on January 8, 2020. RetrievedJanuary 13,2020.",0.375,Positive
2020,"^Cathey, Libby; Lantry, Lauren; Winsor, Morgan (January 8, 2020).""Trump addresses nation, de-escalates crisis over Iran's missile attacks"".ABC News.Archivedfrom the original on January 10, 2020. Retri...","^Cathey, Libby; Lantry, Lauren; Winsor, Morgan (January 8, 2020).""Trump addresses nation, de-escalates crisis over Iran's missile attacks"".ABC News.Archivedfrom the original on January 10, 2020. RetrievedJanuary 10,2020.",0.375,Positive
2020,"^""US confirms Iranian missile barrages at Iraqi bases housing its troops"". Times of Israel. January 7, 2020.Archivedfrom the original on January 8, 2020. RetrievedJanuary 8,2020....","^""US confirms Iranian missile barrages at Iraqi bases housing its troops"". Times of Israel. January 7, 2020.Archivedfrom the original on January 8, 2020. RetrievedJanuary 8,2020.",0.375,Positive
2020,"^Staff (January 7, 2020).""Trump continues tough rhetoric on Iran in meeting with Greece's prime minister"".CBS News.Archivedfrom the original on January 9, 2020. RetrievedJanuary 10,2020....","^Staff (January 7, 2020).""Trump continues tough rhetoric on Iran in meeting with Greece's prime minister"".CBS News.Archivedfrom the original on January 9, 2020. RetrievedJanuary 10,2020.",-0.0069444444444444475,Neutral
2020,"^Atwood, Kylie; Herb, Jeremy (January 6, 2020).""John Bolton says he is prepared to testify in Senate trial if subpoenaed"". CNN.Archivedfrom the original on January 6, 2020. RetrievedJanuary 6,2020....","^Atwood, Kylie; Herb, Jeremy (January 6, 2020).""John Bolton says he is prepared to testify in Senate trial if subpoenaed"". CNN.Archivedfrom the original on January 6, 2020. RetrievedJanuary 6,2020.",0.375,Positive
2020,"^Thomas, Alex (January 7, 2020).""Saudis Tweet About Monday Meeting That White House Never Disclosed"". IJR.Archivedfrom the original on January 14, 2020. RetrievedJanuary 13,2020./...","^Thomas, Alex (January 7, 2020).""Saudis Tweet About Monday Meeting That White House Never Disclosed"". IJR.Archivedfrom the original on January 14, 2020. RetrievedJanuary 13,2020./",0.1875,Positive
2020,"^Jackson, David (January 5, 2020).""President Trump returns to White House, threatening Iran and attacking impeachment USA TODAY"". USA Today.Archivedfrom the original on January 7, 2020. RetrievedJanua...","^Jackson, David (January 5, 2020).""President Trump returns to White House, threatening Iran and attacking impeachment USA TODAY"". USA Today.Archivedfrom the original on January 7, 2020. RetrievedJanuary 8,2020.",0.1875,Positive
2020,"^Trump, Donald J. (January 4, 2020).""....targeted 52 Iranian sites (representing the 52 American hostages taken by Iran many years ago), some at a very high level & important to Iran & the Iranian cul...","^Trump, Donald J. (January 4, 2020).""....targeted 52 Iranian sites (representing the 52 American hostages taken by Iran many years ago), some at a very high level & important to Iran & the Iranian culture, and those targets, and Iran itself, WILL BE HIT VERY FAST AND VERY HARD. The USA wants no more threats!""(Tweet).Archivedfrom the original on December 26, 2022. RetrievedJanuary 15,2023– viaTwitter.",0.13903703703703704,Positive
2020,"^Trump, Donald J. (January 4, 2020).""....hundreds of Iranian protesters. He was already attacking our Embassy, and preparing for additional hits in other locations. Iran has been nothing but problems ...","^Trump, Donald J. (January 4, 2020).""....hundreds of Iranian protesters. He was already attacking our Embassy, and preparing for additional hits in other locations. Iran has been nothing but problems for many years. Let this serve as a WARNING that if Iran strikes any Americans, or American assets, we have...""(Tweet).Archivedfrom the original on December 19, 2022. RetrievedJanuary 15,2023– viaTwitter.",0.1875,Positive
2020,"^Trump, Donald J. (January 4, 2020).""Iran is talking very boldly about targeting certain USA assets as revenge for our ridding the world of their terrorist leader who had just killed an American, & ba...","^Trump, Donald J. (January 4, 2020).""Iran is talking very boldly about targeting certain USA assets as revenge for our ridding the world of their terrorist leader who had just killed an American, & badly wounded many others, not to mention all of the people he had killed over his lifetime, including recently...""(Tweet).Archivedfrom the original on December 19, 2022. RetrievedJanuary 15,2023– viaTwitter.",0.046957671957671976,Neutral
2020,"^Haberman, Maggie (January 6, 2020).""Trump Threatens Iranian Cultural Sites, and Warns of Sanctions on Iraq"".The New York Times.Archivedfrom the original on January 13, 2020. RetrievedJanuary 13,2020....","^Haberman, Maggie (January 6, 2020).""Trump Threatens Iranian Cultural Sites, and Warns of Sanctions on Iraq"".The New York Times.Archivedfrom the original on January 13, 2020. RetrievedJanuary 13,2020.",0.20378787878787877,Positive
2020,"^""Remarks by President Trump on the Killing of Qasem Soleimani"".whitehouse.gov. January 3, 2020.Archivedfrom the original on January 20, 2021. RetrievedJune 27,2020– viaNational Archives....","^""Remarks by President Trump on the Killing of Qasem Soleimani"".whitehouse.gov. January 3, 2020.Archivedfrom the original on January 20, 2021. RetrievedJune 27,2020– viaNational Archives.",0.375,Positive
2020,"^""Statement by the Department of Defense"".United States Department of Defense. January 2, 2020.Archivedfrom the original on January 3, 2020. RetrievedJanuary 3,2020....","^""Statement by the Department of Defense"".United States Department of Defense. January 2, 2020.Archivedfrom the original on January 3, 2020. RetrievedJanuary 3,2020.",0.375,Positive
2020,"^Schumer, Charles E. (January 8, 2020).""The case for witnesses at Trump Senate impeachment trial gets stronger every day: Schumer"". USA Today.Archivedfrom the original on January 9, 2020. RetrievedJan...","^Schumer, Charles E. (January 8, 2020).""The case for witnesses at Trump Senate impeachment trial gets stronger every day: Schumer"". USA Today.Archivedfrom the original on January 9, 2020. RetrievedJanuary 10,2020.",0.375,Positive
2020,"President Trump fires acting director of national intelligence,Joseph Maguire, after last weeks briefing to the House Intelligence Committee by the top election security official,Shelby Pierson, on Ru...","President Trump fires acting director of national intelligence,Joseph Maguire, after last weeks briefing to the House Intelligence Committee by the top election security official,Shelby Pierson, on Russian interference in the upcoming 2020 election. The president announced that he was replacing Maguire withRichard Grenell, the current ambassador to Germany, who will oversee 17 U.S. intelligence agencies.",0.1,Positive
2020,"President Trump's legal defense in his impeachment trial begin opening arguments, refuting the accusations made by the impeachment managers and accusing them of trying to remove him from office as the...","President Trump's legal defense in his impeachment trial begin opening arguments, refuting the accusations made by the impeachment managers and accusing them of trying to remove him from office as they believed they could not win the 2020 presidential election.",-0.1,Negative
2020,"Opening arguments begin, with impeachment managers accusing Trump of trying to cheat in the upcoming 2020 election, adding that his actions demonstrate that ""he believes that he's above the law and sc...","Opening arguments begin, with impeachment managers accusing Trump of trying to cheat in the upcoming 2020 election, adding that his actions demonstrate that ""he believes that he's above the law and scornful of constraint.""",0.0,Neutral
2020,Attempts to overturn the 2020 presidential electionFake electors plotChesebro memosEastman memosLawsuitsTexas v. PennsylvaniaJeffrey Clark letter...,Attempts to overturn the 2020 presidential electionFake electors plotChesebro memosEastman memosLawsuitsTexas v. PennsylvaniaJeffrey Clark letter,0.0,Neutral
2020,2020 Mount Rushmore Fireworks CelebrationNational Garden of American Heroes...,2020 Mount Rushmore Fireworks CelebrationNational Garden of American Heroes,0.0,Neutral
2020,"^Staff (January 30, 2020).""Trump holds rally in Iowa days before first 2020 voting contest"".CBS News. RetrievedJanuary 30,2020....","^Staff (January 30, 2020).""Trump holds rally in Iowa days before first 2020 voting contest"".CBS News. RetrievedJanuary 30,2020.",0.25,Positive
2020,"^Fassihi, Farnaz (January 13, 2020).""Iran Says It Unintentionally Shot Down Ukrainian Airliner"".The New York Times.Archivedfrom the original on January 11, 2020. RetrievedJanuary 13,2020....","^Fassihi, Farnaz (January 13, 2020).""Iran Says It Unintentionally Shot Down Ukrainian Airliner"".The New York Times.Archivedfrom the original on January 11, 2020. RetrievedJanuary 13,2020.",0.1186026936026936,Positive
2020,"^Fandos, Nicholas (January 14, 2020).""House Will Vote Wednesday to Send Impeachment Articles, Pelosi Says"".The New York Times.Archivedfrom the original on January 14, 2020. RetrievedJanuary 14,2020....","^Fandos, Nicholas (January 14, 2020).""House Will Vote Wednesday to Send Impeachment Articles, Pelosi Says"".The New York Times.Archivedfrom the original on January 14, 2020. RetrievedJanuary 14,2020.",0.2556818181818182,Positive
2020,"^Kim, Tong-Hyung (January 8, 2020).""South Korea says it sent birthday message from President Trump to Kim Jong Un"". USA Today.Archivedfrom the original on January 12, 2020. RetrievedJanuary 13,2020....","^Kim, Tong-Hyung (January 8, 2020).""South Korea says it sent birthday message from President Trump to Kim Jong Un"". USA Today.Archivedfrom the original on January 12, 2020. RetrievedJanuary 13,2020.",0.375,Positive
2020,"^Davis, Bob; Wei, Lingling; Mauldlin, William (January 15, 2020).""U.S., China Sign Deal Easing Trade Tensions"". The Wall Street Journal.Archivedfrom the original on January 15, 2020. RetrievedJanuary ...","^Davis, Bob; Wei, Lingling; Mauldlin, William (January 15, 2020).""U.S., China Sign Deal Easing Trade Tensions"". The Wall Street Journal.Archivedfrom the original on January 15, 2020. RetrievedJanuary 15,2020.",0.375,Positive
2020,"^Stolberg, Sheryl Gay; Shear, Michael D. (January 29, 2020).""Republicans Move to Block Impeachment Witnesses, Driving Toward Acquittal"".The New York Times.Archivedfrom the original on February 15, 202...","^Stolberg, Sheryl Gay; Shear, Michael D. (January 29, 2020).""Republicans Move to Block Impeachment Witnesses, Driving Toward Acquittal"".The New York Times.Archivedfrom the original on February 15, 2021. RetrievedJanuary 29,2020.",0.3093434343434343,Positive
2020,"^Grisales, Claudia (January 28, 2020).""Trump Defense Team Finishes Opening Arguments In Impeachment Trial"". NPR.Archivedfrom the original on February 15, 2021. RetrievedJanuary 29,2020....","^Grisales, Claudia (January 28, 2020).""Trump Defense Team Finishes Opening Arguments In Impeachment Trial"". NPR.Archivedfrom the original on February 15, 2021. RetrievedJanuary 29,2020.",0.375,Positive
2020,"^Wilson, Audrey (January 28, 2020).""What's Inside Trump's Middle East Peace Plan?"". Foreign Policy.Archivedfrom the original on February 15, 2021. RetrievedJanuary 28,2020....","^Wilson, Audrey (January 28, 2020).""What's Inside Trump's Middle East Peace Plan?"". Foreign Policy.Archivedfrom the original on February 15, 2021. RetrievedJanuary 28,2020.",0.08333333333333333,Positive
2020,"^Heller, Aron (January 27, 2020).""Donald Trump meets Benjamin Netanyahu, Benny Gantz at White House for deal"". Global News.Archivedfrom the original on February 15, 2021. RetrievedJanuary 27,2020....","^Heller, Aron (January 27, 2020).""Donald Trump meets Benjamin Netanyahu, Benny Gantz at White House for deal"". Global News.Archivedfrom the original on February 15, 2021. RetrievedJanuary 27,2020.",0.125,Positive
2020,"^Staff (January 14, 2020).""Trump touts Soleimani strike and slaps at Democrats during Milwaukee rally"".CBS News. RetrievedJanuary 14,2020....","^Staff (January 14, 2020).""Trump touts Soleimani strike and slaps at Democrats during Milwaukee rally"".CBS News. RetrievedJanuary 14,2020.",0.0,Neutral
2020,"^Gregorian, Dareh (January 27, 2020).""Trump's Senate impeachment trial: What happened on Day 6"".Archivedfrom the original on February 15, 2021. RetrievedJanuary 28,2020....","^Gregorian, Dareh (January 27, 2020).""Trump's Senate impeachment trial: What happened on Day 6"".Archivedfrom the original on February 15, 2021. RetrievedJanuary 28,2020.",0.375,Positive
2020,"^Shear, Michael; Fandos, Nicholas (January 27, 2020).""Bolton Revelations Anger Republicans, Fueling Push for Impeachment Witnesses"".New York Times.Archivedfrom the original on January 28, 2020. Retrie...","^Shear, Michael; Fandos, Nicholas (January 27, 2020).""Bolton Revelations Anger Republicans, Fueling Push for Impeachment Witnesses"".New York Times.Archivedfrom the original on January 28, 2020. RetrievedJanuary 28,2020.",-0.16249999999999998,Negative
2020,"^Baker, Peter (January 25, 2020).""Trump Team, Opening Defense, Accuses Democrats of Plot to Subvert Election"".The New York Times.Archivedfrom the original on February 15, 2021. RetrievedJanuary 25,202...","^Baker, Peter (January 25, 2020).""Trump Team, Opening Defense, Accuses Democrats of Plot to Subvert Election"".The New York Times.Archivedfrom the original on February 15, 2021. RetrievedJanuary 25,2020.",0.2556818181818182,Positive
2020,"^Fandos, Nicholas (January 24, 2020).""Branding Trump a Danger, Democrats Cap the Case for His Removal"".New York Times.Archivedfrom the original on February 15, 2021. RetrievedJanuary 25,2020....","^Fandos, Nicholas (January 24, 2020).""Branding Trump a Danger, Democrats Cap the Case for His Removal"".New York Times.Archivedfrom the original on February 15, 2021. RetrievedJanuary 25,2020.",0.375,Positive
2020,"^Smith, David (January 24, 2020).""Trump tells anti-abortion activists at March for Life: 'I am fighting for you'"".The Guardian.Archivedfrom the original on February 15, 2021. RetrievedJanuary 24,2020....","^Smith, David (January 24, 2020).""Trump tells anti-abortion activists at March for Life: 'I am fighting for you'"".The Guardian.Archivedfrom the original on February 15, 2021. RetrievedJanuary 24,2020.",0.375,Positive
2020,"^Herb, Jeremy; Fox, Lauren (January 23, 2020).""Impeachment managers dissect abuse of power charge in making case against Trump"". CNN.Archivedfrom the original on February 15, 2021. RetrievedJanuary 24...","^Herb, Jeremy; Fox, Lauren (January 23, 2020).""Impeachment managers dissect abuse of power charge in making case against Trump"". CNN.Archivedfrom the original on February 15, 2021. RetrievedJanuary 24,2020.",0.375,Positive
2020,"^Stein, Jeff (January 29, 2020).""Trump signs USMCA, revamping North American trade rules"".The Washington Post.Archivedfrom the original on February 15, 2021. RetrievedJanuary 30,2020....","^Stein, Jeff (January 29, 2020).""Trump signs USMCA, revamping North American trade rules"".The Washington Post.Archivedfrom the original on February 15, 2021. RetrievedJanuary 30,2020.",0.1875,Positive
2020,"^Shear, Michael D. (January 22, 2020).""In Impeachment Case, Schiff Accuses Trump of Trying 'to Cheat' in Election"".The New York Times. RetrievedJanuary 22,2020....","^Shear, Michael D. (January 22, 2020).""In Impeachment Case, Schiff Accuses Trump of Trying 'to Cheat' in Election"".The New York Times. RetrievedJanuary 22,2020.",0.13636363636363635,Positive
2020,"^Duehren, Andrew (January 23, 2020).""Democrats Say Abuse of Power Warrants President's Removal"". The Wall Street Journal.Archivedfrom the original on February 15, 2021. RetrievedJanuary 24,2020....","^Duehren, Andrew (January 23, 2020).""Democrats Say Abuse of Power Warrants President's Removal"". The Wall Street Journal.Archivedfrom the original on February 15, 2021. RetrievedJanuary 24,2020.",0.375,Positive
2020,"^Pettypiece, Shannon; Welker, Kristen (January 22, 2020).""Trump travels from sunny Swiss retreat back to impeachment storm"".NBC News.Archivedfrom the original on February 15, 2021. RetrievedJanuary 22...","^Pettypiece, Shannon; Welker, Kristen (January 22, 2020).""Trump travels from sunny Swiss retreat back to impeachment storm"".NBC News.Archivedfrom the original on February 15, 2021. RetrievedJanuary 22,2020.",0.1875,Positive
2020,"^Swanson, Ana; Rappeport, Alan (January 15, 2020).""Trump Signs China Trade Deal, Putting Economic Conflict on Pause"".The New York Times.Archivedfrom the original on January 15, 2020. RetrievedJanuary ...","^Swanson, Ana; Rappeport, Alan (January 15, 2020).""Trump Signs China Trade Deal, Putting Economic Conflict on Pause"".The New York Times.Archivedfrom the original on January 15, 2020. RetrievedJanuary 15,2020.",0.23712121212121215,Positive
2020,"^Fandos, Nicholas; Stolberg, Sheryl Gay (January 15, 2020).""House Delivers Impeachment Charges to Senate, Paving the Way for a Trial"".The New York Times.Archivedfrom the original on January 16, 2020. ...","^Fandos, Nicholas; Stolberg, Sheryl Gay (January 15, 2020).""House Delivers Impeachment Charges to Senate, Paving the Way for a Trial"".The New York Times.Archivedfrom the original on January 16, 2020. RetrievedJanuary 15,2020.",0.3093434343434343,Positive
2020,"^Herb, Jeremy; Foran, Claire (January 15, 2020).""House sends two articles of impeachment to the Senate"". CNN.Archivedfrom the original on January 15, 2020. RetrievedJanuary 15,2020....","^Herb, Jeremy; Foran, Claire (January 15, 2020).""House sends two articles of impeachment to the Senate"". CNN.Archivedfrom the original on January 15, 2020. RetrievedJanuary 15,2020.",0.375,Positive
2020,"^Herb, Jeremy (January 16, 2020).""Senate impeachment trial of Donald Trump officially begins"". CNN.Archivedfrom the original on January 16, 2020. RetrievedJanuary 16,2020....","^Herb, Jeremy (January 16, 2020).""Senate impeachment trial of Donald Trump officially begins"". CNN.Archivedfrom the original on January 16, 2020. RetrievedJanuary 16,2020.",0.375,Positive
2020,"^Herb, Jeremy; Mattingly, Phil; Raju, Manu (January 22, 2020).""Senate passes impeachment trial rules to punt on witnesses in early Wednesday morning vote"". CNN. RetrievedJanuary 22,2020....","^Herb, Jeremy; Mattingly, Phil; Raju, Manu (January 22, 2020).""Senate passes impeachment trial rules to punt on witnesses in early Wednesday morning vote"". CNN. RetrievedJanuary 22,2020.",0.1,Positive
2020,"^Vazquez, Maegan (January 17, 2020).""Trump gives LSU football team a championship welcome"". CNN.Archivedfrom the original on February 15, 2021. RetrievedJanuary 18,2020....","^Vazquez, Maegan (January 17, 2020).""Trump gives LSU football team a championship welcome"". CNN.Archivedfrom the original on February 15, 2021. RetrievedJanuary 18,2020.",0.5875,Positive
2020,"^Cochrane, Emily (January 16, 2020).""Senate Passes Revised NAFTA, Sending Pact to Trump's Desk"".The New York Times. RetrievedJanuary 16,2020....","^Cochrane, Emily (January 16, 2020).""Senate Passes Revised NAFTA, Sending Pact to Trump's Desk"".The New York Times. RetrievedJanuary 16,2020.",0.13636363636363635,Positive
2020,"^Bowden, John (January 20, 2020).""Trump, Pence visit MLK memorial"".The Hill.Archivedfrom the original on February 15, 2021. RetrievedJanuary 20,2020....","^Bowden, John (January 20, 2020).""Trump, Pence visit MLK memorial"".The Hill.Archivedfrom the original on February 15, 2021. RetrievedJanuary 20,2020.",0.375,Positive
2020,"^Shabad, Rebecca (January 20, 2020).""Trump's legal team calls impeachment articles 'an affront to the Constitution,' urges quick acquittal in Senate"". NBCNews.Archivedfrom the original on February 15,...","^Shabad, Rebecca (January 20, 2020).""Trump's legal team calls impeachment articles 'an affront to the Constitution,' urges quick acquittal in Senate"". NBCNews.Archivedfrom the original on February 15, 2021. RetrievedJanuary 21,2020.",0.30277777777777776,Positive
2020,"^Staff (January 21, 2020).""Davos 2020: Trump rejects 'prophets of doom' at climate-focused WEF"". Deutsche Welle.Archivedfrom the original on February 15, 2021. RetrievedJanuary 21,2020....","^Staff (January 21, 2020).""Davos 2020: Trump rejects 'prophets of doom' at climate-focused WEF"". Deutsche Welle.Archivedfrom the original on February 15, 2021. RetrievedJanuary 21,2020.",0.375,Positive
2020,"^Sullivan, Eileen (January 22, 2020).""Trump Impeachment: Highlights From Tuesday's Senate Trial Senators worked early i"".New York Times.Archivedfrom the original on February 15, 2021. RetrievedJanuary...","^Sullivan, Eileen (January 22, 2020).""Trump Impeachment: Highlights From Tuesday's Senate Trial Senators worked early i"".New York Times.Archivedfrom the original on February 15, 2021. RetrievedJanuary 23,2020.",0.2375,Positive
2020,"^Sparber, Sami (January 19, 2020).""""The farmers are sticking with Trump"": President Trump touts new trade deal during Austin speech"". The Texas Tribune. RetrievedJanuary 20,2020....","^Sparber, Sami (January 19, 2020).""""The farmers are sticking with Trump"": President Trump touts new trade deal during Austin speech"". The Texas Tribune. RetrievedJanuary 20,2020.",0.13636363636363635,Positive
2020,"^Staff (January 28, 2020).""Trump holds rally in New Jersey as Senate impeachment trial moves into new phase"".CBS News.Archivedfrom the original on February 15, 2021. RetrievedJanuary 28,2020....","^Staff (January 28, 2020).""Trump holds rally in New Jersey as Senate impeachment trial moves into new phase"".CBS News.Archivedfrom the original on February 15, 2021. RetrievedJanuary 28,2020.",0.2159090909090909,Positive
2021,"stimulus billsCARES ActConsolidated Appropriations Act, 2021...","stimulus billsCARES ActConsolidated Appropriations Act, 2021",0.0,Neutral
2021,"^""Donald J. Trump on Twitter: ""Arnold Schwarzenegger isn't voluntarily leaving the Apprentice, he was fired by his bad (Pathetic) ratings, not by me. Sad end to great show"""".Twitter.Archivedfrom the o...","^""Donald J. Trump on Twitter: ""Arnold Schwarzenegger isn't voluntarily leaving the Apprentice, he was fired by his bad (Pathetic) ratings, not by me. Sad end to great show"""".Twitter.Archivedfrom the original on January 7, 2021. RetrievedSeptember 7,2020.",-0.20499999999999993,Negative
2021,"^ab""America First: A Budget Blueprint to Make America Great Again""(PDF).Office of Management and Budget.Archived(PDF)from the original on January 20, 2021. RetrievedMarch 16,2017– viaNational Archives...","^ab""America First: A Budget Blueprint to Make America Great Again""(PDF).Office of Management and Budget.Archived(PDF)from the original on January 20, 2021. RetrievedMarch 16,2017– viaNational Archives.",0.47500000000000003,Positive
2021,"stimulus billsCARES ActConsolidated Appropriations Act, 2021...","stimulus billsCARES ActConsolidated Appropriations Act, 2021",0.0,Neutral
2021,"stimulus billsCARES ActConsolidated Appropriations Act, 2021...","stimulus billsCARES ActConsolidated Appropriations Act, 2021",0.0,Neutral
2021,"^""Donald J. Trump on Twitter: ""My daughter Ivanka has been treated so unfairly by @Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible!"""".Twitter.Archivedfrom the ori...","^""Donald J. Trump on Twitter: ""My daughter Ivanka has been treated so unfairly by @Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible!"""".Twitter.Archivedfrom the original on January 7, 2021. RetrievedSeptember 7,2020.",0.006428571428571428,Neutral
2021,"stimulus billsCARES ActConsolidated Appropriations Act, 2021...","stimulus billsCARES ActConsolidated Appropriations Act, 2021",0.0,Neutral
2022,"^Korte, Gregory.""To recognize war heroes, Trump resurrects long-neglected 'Medal of Honor Day'"".USA Today.Archivedfrom the original on September 23, 2022. RetrievedNovember 21,2025....","^Korte, Gregory.""To recognize war heroes, Trump resurrects long-neglected 'Medal of Honor Day'"".USA Today.Archivedfrom the original on September 23, 2022. RetrievedNovember 21,2025.",0.375,Positive
2022,"^""White House says Mexico border wall might be funded by tax on imports"".The Washington Post.Archivedfrom the original on July 15, 2022. RetrievedJanuary 27,2017....","^""White House says Mexico border wall might be funded by tax on imports"".The Washington Post.Archivedfrom the original on July 15, 2022. RetrievedJanuary 27,2017.",0.1875,Positive
2023,"^Rabinowitz, Hannah (August 31, 2023).""Trump Pleads Not Guilty in Georgia Election Subversion Case, Seeks to Sever Case from Co-Defendants Who Want a Speedy Trial"".CNN.Archivedfrom the original on Sep...","^Rabinowitz, Hannah (August 31, 2023).""Trump Pleads Not Guilty in Georgia Election Subversion Case, Seeks to Sever Case from Co-Defendants Who Want a Speedy Trial"".CNN.Archivedfrom the original on September 21, 2023. RetrievedSeptember 29,2023.",0.3125,Positive
2023,"^Stein, Perry (March 30, 2023).""Trump Can Still Run for President in 2024 After Being Indicted"".The Washington Post.ISSN0190-8286.Archivedfrom the original on April 14, 2023. RetrievedMarch 30,2023....","^Stein, Perry (March 30, 2023).""Trump Can Still Run for President in 2024 After Being Indicted"".The Washington Post.ISSN0190-8286.Archivedfrom the original on April 14, 2023. RetrievedMarch 30,2023.",0.375,Positive
2023,"^Sneed, Tierney (August 5, 2023).""Trump Pleads Not Guilty Twice in 24 Hours with Plea to New Charges in Classified Documents Case"".CNN.Archivedfrom the original on August 5, 2023. RetrievedSeptember 2...","^Sneed, Tierney (August 5, 2023).""Trump Pleads Not Guilty Twice in 24 Hours with Plea to New Charges in Classified Documents Case"".CNN.Archivedfrom the original on August 5, 2023. RetrievedSeptember 29,2023.",0.2537878787878788,Positive
2023,"^Giavanni Alves (March 31, 2023).""Can a Convicted Felon Become a U.S. President?"".Staten Island Advance.Archivedfrom the original on April 5, 2023. RetrievedApril 5,2023....","^Giavanni Alves (March 31, 2023).""Can a Convicted Felon Become a U.S. President?"".Staten Island Advance.Archivedfrom the original on April 5, 2023. RetrievedApril 5,2023.",0.375,Positive
2023,"^Bromwich, Jonah E.; Rashbaum, William K.; Protess, Ben; Haberman, Maggie (April 4, 2023).""Donald Trump's Arraignment: Trump Decries Charges After Pleading Not Guilty to 34 Felony Counts"".The New York...","^Bromwich, Jonah E.; Rashbaum, William K.; Protess, Ben; Haberman, Maggie (April 4, 2023).""Donald Trump's Arraignment: Trump Decries Charges After Pleading Not Guilty to 34 Felony Counts"".The New York Times.Archivedfrom the original on June 2, 2023. RetrievedSeptember 29,2023.",0.2537878787878788,Positive
2023,"^O'Kruk, Amy; Merrill, Curt (December 11, 2023) .""Donald Trump's Criminal Cases, In One Place"".CNN.Archivedfrom the original on September 1, 2023. RetrievedJanuary 28,2024....","^O'Kruk, Amy; Merrill, Curt (December 11, 2023) .""Donald Trump's Criminal Cases, In One Place"".CNN.Archivedfrom the original on September 1, 2023. RetrievedJanuary 28,2024.",-0.012500000000000011,Neutral
2023,"^abcSavage, Charlie(August 15, 2023).""Comparing the Four Criminal Cases Against Donald Trump"".The New York Times.Archivedfrom the original on August 16, 2023. RetrievedAugust 16,2023....","^abcSavage, Charlie(August 15, 2023).""Comparing the Four Criminal Cases Against Donald Trump"".The New York Times.Archivedfrom the original on August 16, 2023. RetrievedAugust 16,2023.",0.03712121212121211,Neutral
2023,"^Tucker, Eric (July 21, 2023).""Judge Sets a Trial Date for Next May in Trump's Classified Documents Case in Florida"".The San Diego Union-Tribune.Associated Press.Archivedfrom the original on January 2...","^Tucker, Eric (July 21, 2023).""Judge Sets a Trial Date for Next May in Trump's Classified Documents Case in Florida"".The San Diego Union-Tribune.Associated Press.Archivedfrom the original on January 28, 2024. RetrievedJanuary 28,2024.",0.1875,Positive
2023,"^Sullivan, Andy; Ax, Joseph; Lynch, Sarah N.; Sullivan, Andy; Lynch, Sarah N. (August 15, 2023).""Georgia Charges Trump, Former Advisers in 2020 Election Case"".Reuters.Archivedfrom the original on Dece...","^Sullivan, Andy; Ax, Joseph; Lynch, Sarah N.; Sullivan, Andy; Lynch, Sarah N. (August 15, 2023).""Georgia Charges Trump, Former Advisers in 2020 Election Case"".Reuters.Archivedfrom the original on December 4, 2023. RetrievedJanuary 28,2024.",0.1875,Positive
2023,"^Kunzelman, Michael; Tucker, Eric; Merchant, Nomaan (August 3, 2023).""Trump Pleads Not Guilty to Federal Felonies Related to the 2020 Election"".PBS NewsHour.Associated Press. RetrievedSeptember 29,202...","^Kunzelman, Michael; Tucker, Eric; Merchant, Nomaan (August 3, 2023).""Trump Pleads Not Guilty to Federal Felonies Related to the 2020 Election"".PBS NewsHour.Associated Press. RetrievedSeptember 29,2023.",0.125,Positive
2023,"^Kinnard, Meg; Richer, Alanna Durkin (July 28, 2023).""Read Trump's New Charges in the Classified Documents Case"".PBS.Archivedfrom the original on August 28, 2023. RetrievedJanuary 28,2024....","^Kinnard, Meg; Richer, Alanna Durkin (July 28, 2023).""Read Trump's New Charges in the Classified Documents Case"".PBS.Archivedfrom the original on August 28, 2023. RetrievedJanuary 28,2024.",0.2556818181818182,Positive
2023,"^""Trump, Pence preside over East Room ceremony to swear in senior staff"".The Washington Post.Archivedfrom the original on March 20, 2023. RetrievedDecember 1,2017....","^""Trump, Pence preside over East Room ceremony to swear in senior staff"".The Washington Post.Archivedfrom the original on March 20, 2023. RetrievedDecember 1,2017.",0.375,Positive
